#Patrons =25
0, 0: Margarita, 1779008136777, 3, 80, 75
0, 0: Cider, 1779008136939, 1, 26, 25
0, 0: White Wine, 1779008137068, 2, 27, 25
1, 1: Red Wine, 1779008137101, 1, 27, 25
2, 2: Vodka shot, 1779008137125, 10, 30, 20
0, 0: Martini, 1779008137246, 2, 63, 60
1, 1: Vodka shot, 1779008137280, 36, 56, 20
1, 1: Draft Beer, 1779008137341, 2, 53, 50
0, 0: Margarita, 1779008137420, 1, 77, 75
1, 1: Beer, 1779008137495, 8, 34, 25
3, 3: Gin and Tonic, 1779008137575, 1, 42, 40
4, 4: Cider, 1779008137613, 10, 35, 25
0, 0: B52, 1779008137578, 76, 277, 200
3, 3: Beer, 1779008137727, 134, 160, 25
5, 5: Margarita, 1779008137872, 21, 97, 75
6, 6: Cosmopolitan, 1779008137891, 84, 150, 65
7, 7: Pina Colada, 1779008137893, 154, 255, 100
8, 8: Red Wine, 1779008137911, 245, 270, 25
9, 9: Margarita, 1779008138139, 50, 126, 75
4, 4: White Wine, 1779008137749, 522, 548, 25
5, 5: Gin and Tonic, 1779008138050, 253, 293, 40
7, 7: B52, 1779008138269, 80, 283, 200
10, 10: Beer, 1779008138390, 168, 194, 25
11, 11: Cosmopolitan, 1779008138558, 32, 97, 65
8, 8: Vodka shot, 1779008138332, 329, 350, 20
9, 9: Tequila shot, 1779008138345, 344, 364, 20
12, 12: Vodka shot, 1779008138699, 17, 37, 20
10, 10: Martini, 1779008138685, 58, 119, 60
13, 13: Pina Colada, 1779008138793, 18, 119, 100
11, 11: Margarita, 1779008138705, 214, 290, 75
14, 14: Cosmopolitan, 1779008138943, 59, 125, 65
12, 12: White Wine, 1779008138740, 334, 360, 25
15, 15: Red Wine, 1779008139098, 8, 35, 25
13, 13: Red Wine, 1779008139034, 106, 131, 25
16, 16: Red Wine, 1779008139149, 23, 48, 25
17, 17: Red Wine, 1779008139167, 38, 63, 25
18, 18: White Wine, 1779008139220, 17, 44, 25
14, 14: Draft Beer, 1779008139119, 153, 203, 50
15, 15: Draft Beer, 1779008139284, 45, 95, 50
16, 16: Red Wine, 1779008139349, 36, 62, 25
17, 17: Margarita, 1779008139380, 38, 113, 75
18, 18: B52, 1779008139415, 85, 286, 200
19, 19: Draft Beer, 1779008139539, 168, 220, 50
1, 1: Margarita, 1779008137630, 2134, 2210, 75
0, 0: B52, 1779008137867, 1980, 2180, 200
19, 19: Bloody Mary, 1779008139859, 195, 265, 70
3, 3: Bloody Mary, 1779008137987, 2143, 2214, 70
4, 4: Tequila shot, 1779008138448, 1760, 1781, 20
5, 5: Red Wine, 1779008138454, 1781, 1807, 25
8, 8: Tequila shot, 1779008138687, 1581, 1603, 20
9, 9: Martini, 1779008138714, 1583, 1644, 60
10, 10: Margarita, 1779008138915, 1449, 1525, 75
20, 20: Martini, 1779008140426, 22, 83, 60
12, 12: White Wine, 1779008139251, 1263, 1289, 25
13, 13: Bloody Mary, 1779008139316, 1231, 1302, 70
20, 20: Cosmopolitan, 1779008140620, 4, 69, 65
21, 21: Draft Beer, 1779008140647, 49, 100, 50
22, 22: Margarita, 1779008140665, 87, 163, 75
23, 23: Margarita, 1779008140682, 153, 228, 75
21, 21: Pina Colada, 1779008140847, 69, 170, 100
24, 24: Red Wine, 1779008140934, 89, 116, 25
22, 22: Margarita, 1779008140909, 147, 223, 75
14, 14: Beer, 1779008139423, 1715, 1741, 25
18, 18: Red Wine, 1779008139714, 1456, 1482, 25
1, 1: Mojito, 1779008139920, 1283, 1358, 75
24, 24: Gin and Tonic, 1779008141208, 77, 125, 40
0, 0: Draft Beer, 1779008140059, 1280, 1337, 50
4, 4: Draft Beer, 1779008140233, 1170, 1225, 50
19, 19: Red Wine, 1779008140275, 1191, 1216, 25
3, 3: Draft Beer, 1779008140352, 1147, 1198, 50
5, 5: Cider, 1779008140412, 1144, 1170, 25
9, 9: Cider, 1779008140468, 1120, 1146, 25
10, 10: Gin and Tonic, 1779008140522, 1099, 1153, 40
12, 12: Gin and Tonic, 1779008140690, 991, 1032, 40
20, 20: Beer, 1779008140740, 988, 1014, 25
13, 13: White Wine, 1779008140769, 991, 1017, 25
21, 21: Red Wine, 1779008141147, 646, 671, 25
22, 22: Cosmopolitan, 1779008141223, 601, 667, 65
14, 14: Mojito, 1779008141271, 625, 701, 75
18, 18: Pina Colada, 1779008141348, 630, 732, 100
1, 1: Cider, 1779008141396, 691, 717, 25
24, 24: Pina Colada, 1779008141444, 675, 777, 100
4, 4: Mojito, 1779008141565, 663, 738, 75
19, 19: Mojito, 1779008141643, 667, 742, 75
3, 3: Cider, 1779008141659, 732, 758, 25
5, 5: Gin and Tonic, 1779008141690, 733, 780, 40
9, 9: Cosmopolitan, 1779008141722, 755, 820, 65
10, 10: Margarita, 1779008141800, 748, 824, 75
20, 20: Cider, 1779008141862, 768, 794, 25
13, 13: Cider, 1779008141939, 723, 750, 25
22, 22: White Wine, 1779008141955, 740, 765, 25
21, 21: Margarita, 1779008141970, 756, 833, 75
14, 14: Beer, 1779008142095, 713, 739, 25
18, 18: Red Wine, 1779008142205, 636, 662, 25
1, 1: Vodka shot, 1779008142221, 652, 672, 20
24, 24: Beer, 1779008142346, 554, 580, 25
4, 4: B52, 1779008142423, 510, 722, 200
9, 9: Cider, 1779008142596, 555, 580, 25
5, 5: Cider, 1779008142596, 586, 613, 25
10, 10: White Wine, 1779008142704, 513, 539, 25
20, 20: White Wine, 1779008142766, 483, 509, 25
13, 13: Cider, 1779008142798, 483, 508, 25
21, 21: Tequila shot, 1779008142893, 420, 452, 20
